row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.08.08 00:36:17,USC,10641.95,10804.97,40.03,10601.92,26584.9,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,20240001,CHFJPYc,-80.44,0.06,6,586.5,0
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,1524,EURUSDc,-134.13,0.13,12,251.5,0
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,9397,GBPUSDc,51.55,0.02,2,1118.6,0
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.08.08 00:36:17,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,2
SYMBOL,159475669,2026.08.08 00:36:17,,,,,,,,,,CHFJPYc,-80.44,0.06,6,,
SYMBOL,159475669,2026.08.08 00:36:17,,,,,,,,,,EURUSDc,-134.13,0.13,12,,
SYMBOL,159475669,2026.08.08 00:36:17,,,,,,,,,,GBPUSDc,51.55,0.02,2,,
