ticket,open_time,close_time,symbol,magic,type,lots,open_price,close_price,profit,swap,commission,comment
1258467037,2026.08.21 07:42:08,2026.09.01 08:27:36,AUDCADm,990,1,0.10,0.98370,0.99218,-61.12,0.00,0.00,
1258763451,2026.08.21 14:27:50,2026.09.01 08:27:35,AUDCADm,990,1,0.20,0.98621,0.99218,-86.06,0.00,0.00,
1259113048,2026.08.23 21:07:08,2026.09.01 08:27:34,AUDCADm,990,1,0.30,0.98890,0.99218,-70.93,0.00,0.00,
1259582911,2026.08.24 08:51:33,2026.09.01 08:27:33,AUDCADm,990,1,0.40,0.99141,0.99218,-22.20,0.00,0.00,
1260874649,2026.08.26 01:48:24,2026.09.01 08:27:33,AUDCADm,990,1,0.50,0.99398,0.99218,64.86,0.00,0.00,
1261450782,2026.08.26 23:35:39,2026.09.01 08:27:32,AUDCADm,990,1,0.60,0.99648,0.99220,185.09,0.00,0.00,
1263115913,2026.08.30 23:05:05,2026.09.01 16:17:07,EURUSDm,9244,1,0.01,1.15848,1.15880,-0.32,0.00,0.00,Clevr FX
1263434230,2026.08.31 08:02:07,2026.09.01 16:17:07,EURUSDm,9244,1,0.02,1.16051,1.15882,3.38,0.00,0.00,Clevr FX
1263653011,2026.08.31 14:57:34,2026.09.03 12:07:12,EURUSDm,5888,0,0.01,1.16155,1.16157,0.02,0.00,0.00,RSI V.1
1263654201,2026.08.31 15:00:00,2026.09.02 13:25:52,EURUSDm,2,1,0.01,1.16135,1.15966,1.69,0.00,0.00,sell
1263816345,2026.09.01 00:00:01,2026.09.02 13:25:53,EURUSDm,1,0,0.01,1.16185,1.15953,-2.32,0.00,0.00,buy
1263928720,2026.09.01 04:00:01,2026.09.02 13:25:53,EURUSDm,1,0,0.03,1.16060,1.15953,-3.21,0.00,0.00,buy
1264034568,2026.09.01 08:00:01,2026.09.02 13:25:53,EURUSDm,1,0,0.03,1.15959,1.15953,-0.18,0.00,0.00,buy
1264066290,2026.09.01 08:30:02,2026.09.01 12:57:10,AUDCADm,990,0,0.10,0.99209,0.99279,5.04,0.00,0.00,
1264356694,2026.09.01 16:20:08,2026.09.03 12:07:12,EURUSDm,5888,0,0.01,1.15857,1.16157,3.00,0.00,0.00,RSI V.1
1264451742,2026.09.01 20:00:02,2026.09.02 01:35:41,EURUSDm,9244,1,0.01,1.15895,1.15796,0.99,0.00,0.00,Clevr FX
1264543312,2026.09.02 01:00:00,2026.09.02 13:25:52,EURUSDm,1,0,0.03,1.15835,1.15953,3.54,0.00,0.00,buy
1264707782,2026.09.02 06:00:00,2026.09.02 06:57:54,EURUSDm,9244,1,0.01,1.15798,1.15698,1.00,0.00,0.00,Clevr FX
1264739694,2026.09.02 07:00:00,2026.09.02 13:25:52,EURUSDm,1,0,0.03,1.15686,1.15955,8.07,0.00,0.00,buy
1264769989,2026.09.02 08:00:01,2026.09.03 19:16:15,EURUSDm,9244,1,0.01,1.15774,1.16282,-5.08,0.00,0.00,Clevr FX
1264952040,2026.09.02 13:26:29,2026.09.04 12:30:02,EURUSDm,9244,1,0.02,1.15979,1.15919,1.20,0.00,0.00,Clevr FX
1264987837,2026.09.02 14:00:00,2026.09.04 08:07:42,EURUSDm,2,1,0.01,1.16038,1.16198,-1.60,0.00,0.00,sell
1265100348,2026.09.02 18:00:01,2026.09.04 08:07:42,EURUSDm,1,0,0.01,1.15873,1.16190,3.17,0.00,0.00,buy
1265578651,2026.09.03 12:30:03,2026.09.04 12:30:02,EURUSDm,9244,1,0.03,1.16205,1.15933,8.16,0.00,0.00,Clevr FX
1265600878,2026.09.03 12:45:01,2026.09.04 12:30:02,EURUSDm,5888,1,0.01,1.16184,1.15933,2.51,0.00,0.00,RSI V.1
1265617937,2026.09.03 13:00:00,2026.09.04 08:07:42,EURUSDm,2,1,0.03,1.16252,1.16198,1.62,0.00,0.00,sell
1265785813,2026.09.03 16:53:02,2026.09.03 19:16:15,EURUSDm,9244,1,0.05,1.16405,1.16282,6.15,0.00,0.00,Clevr FX
1265788038,2026.09.03 17:00:01,2026.09.04 08:07:42,EURUSDm,2,1,0.03,1.16365,1.16198,5.01,0.00,0.00,sell
1266115377,2026.09.04 09:00:00,2026.09.07 08:15:01,EURUSDm,1,0,0.01,1.16253,1.16314,0.61,0.00,0.00,buy
1266213575,2026.09.04 12:30:03,2026.09.10 12:33:23,EURUSDm,5888,1,0.01,1.15912,1.16060,-1.48,0.00,0.00,RSI V.1
1266270679,2026.09.04 13:00:00,2026.09.07 08:15:01,EURUSDm,1,0,0.03,1.16017,1.16314,8.91,0.00,0.00,buy
1266271027,2026.09.04 13:00:00,2026.09.04 13:07:27,AUDCADm,990,1,0.10,0.99736,0.99666,5.05,0.00,0.00,
1266284208,2026.09.04 13:07:42,2026.09.06 21:47:36,AUDCADm,990,1,0.10,0.99663,0.99593,5.06,0.00,0.00,
1266328187,2026.09.04 13:46:56,2026.09.10 12:33:23,EURUSDm,5888,1,0.01,1.16213,1.16060,1.53,0.00,0.00,RSI V.1
1266433559,2026.09.04 16:00:02,2026.09.07 08:15:01,EURUSDm,2,1,0.01,1.16174,1.16322,-1.48,0.00,0.00,sell
1266655277,2026.09.06 23:05:07,2026.09.08 07:19:32,EURUSDm,9244,1,0.01,1.16137,1.16172,-0.35,0.00,0.00,Clevr FX
1266889812,2026.09.07 07:00:01,2026.09.07 11:01:50,AUDCADm,990,1,0.10,0.99801,0.99732,5.00,0.00,0.00,
1266947609,2026.09.07 08:20:15,2026.09.08 07:19:32,EURUSDm,9244,1,0.02,1.16340,1.16172,3.36,0.00,0.00,Clevr FX
1266970546,2026.09.07 09:00:03,2026.09.09 09:48:06,EURUSDm,2,1,0.01,1.16209,1.16293,-0.84,0.00,0.00,sell
1267145657,2026.09.07 15:00:00,2026.09.09 09:48:06,EURUSDm,2,1,0.03,1.16309,1.16293,0.48,0.00,0.00,sell
1267187178,2026.09.07 17:00:04,2026.09.09 09:48:07,EURUSDm,1,0,0.01,1.16290,1.16285,-0.05,0.00,0.00,buy
1267361816,2026.09.08 02:25:55,2026.09.08 04:06:21,AUDCADm,990,0,0.10,0.99552,0.99622,5.07,0.00,0.00,
1267551158,2026.09.08 08:00:01,2026.09.09 09:48:06,EURUSDm,1,0,0.03,1.16131,1.16285,4.62,0.00,0.00,buy
1267678775,2026.09.08 12:00:00,2026.09.09 15:07:07,EURUSDm,9244,1,0.01,1.16130,1.16296,-1.66,0.00,0.00,Clevr FX
1267829281,2026.09.08 15:11:47,2026.09.09 15:07:07,EURUSDm,9244,1,0.02,1.16332,1.16296,0.72,0.00,0.00,Clevr FX
